X,Y,Z,
0.673806,0.0219498,1.46417,
0.685824,0.0221516,1.46308,
0.697851,0.0223864,1.46197,
0.714347,0.0227181,1.46047,
0.730851,0.0230253,1.45905,
0.747415,0.0233292,1.45767,
0.764148,0.0236552,1.45632,
0.782307,0.0240319,1.4549,
0.800672,0.0244252,1.45358,
0.825131,0.0249294,1.45204,
0.848694,0.0253611,1.45076,
0.865971,0.0256471,1.44993,
0.890434,0.0260097,1.44882,
0.921879,0.0265058,1.4474,
0.952675,0.0270163,1.44602,
0.98298,0.0275322,1.44469,
1.01325,0.02805,1.44342,
1.03789,0.0284657,1.44245,
1.06271,0.0288801,1.44153,
1.08991,0.0293385,1.44053,
1.11711,0.0298021,1.43955,
1.14434,0.0302633,1.43859,
1.17196,0.0307103,1.43765,
1.19813,0.0311064,1.43679,
1.21932,0.0314067,1.43615,
1.24086,0.0316986,1.43556,
1.26665,0.0320357,1.4349,
1.30225,0.0324672,1.43405,
1.34135,0.0329134,1.43319,
1.38464,0.0334272,1.43231,
1.42685,0.0339634,1.43149,
1.46905,0.0345252,1.43071,
1.51191,0.0351032,1.42994,
1.55137,0.0356263,1.42921,
1.5892,0.036127,1.42851,
1.62228,0.0365692,1.42791,
1.65538,0.0370159,1.42735,
1.68847,0.0374685,1.42684,
1.72174,0.0379101,1.42635,
1.76069,0.038405,1.42579,
1.80058,0.0389061,1.42523,
1.83567,0.0393452,1.42474,
1.86955,0.0397576,1.42426,
1.90341,0.0401374,1.42379,
1.92372,0.0403543,1.42351,
1.9517,0.040654,1.42312,
1.97966,0.0409658,1.42274,
2.00763,0.0412894,1.42236,
2.03765,0.0416536,1.42196,
2.06706,0.042022,1.42157,
2.09645,0.0423939,1.42119,
2.12587,0.0427663,1.42083,
2.16484,0.0432549,1.42035,
2.20382,0.043744,1.41988,
2.23859,0.0441852,1.41946,
2.27336,0.0446272,1.41904,
2.30901,0.0450794,1.41861,
2.34467,0.0455298,1.41819,
2.38028,0.0459723,1.41777,
2.41589,0.0464005,1.41736,
2.45159,0.0468154,1.41698,
2.48917,0.0472416,1.41659,
2.52047,0.0475882,1.41629,
2.55181,0.0479306,1.41599,
2.60025,0.0484645,1.41553,
2.64875,0.0490052,1.41507,
2.69737,0.0495516,1.4146,
2.7409,0.0500353,1.41419,
2.7845,0.050514,1.41379,
2.84074,0.05114,1.41327,
2.88938,0.0516748,1.41282,
2.91465,0.0519404,1.41259,
2.95274,0.0523211,1.41226,
2.99087,0.0526813,1.41194,
3.02364,0.0529836,1.41166,
3.05786,0.0532964,1.41138,
3.09208,0.0536102,1.4111,
3.13347,0.0539907,1.41076,
3.17484,0.0543754,1.41043,
3.2237,0.0548326,1.41004,
3.25111,0.0550879,1.40983,
3.27854,0.0553425,1.40961,
3.30601,0.0555964,1.4094,
3.34335,0.0559416,1.40911,
3.38177,0.0562964,1.4088,
3.41415,0.0565927,1.40855,
3.44653,0.0568868,1.4083,
3.47518,0.0571445,1.40809,
3.50383,0.0573972,1.40788,
3.5325,0.0576464,1.40767,
3.57255,0.0579974,1.40737,
3.6126,0.0583515,1.40708,
3.64201,0.0586118,1.40688,
3.67138,0.0588726,1.40667,
3.70075,0.0591351,1.40646,
3.73998,0.0594858,1.40619,
3.79187,0.059947,1.40584,
3.84377,0.0604036,1.40549,
3.88541,0.0607663,1.40522,
3.92361,0.0610957,1.40497,
