CFD-a,CFD-a.1,SIM-a,SIM-a.1,CFD-b,CFD-b.1,SIM-b,SIM-b.1,CFD-c,CFD-c.1,SIM-c,SIM-c.1,CFD-d,CFD-d.1,SIM-d,SIM-d.1,CFD-e,CFD-e.1,SIM-e,SIM-e.1
2.30858,515.8427027027027,2.30858,471.65702,,,,,,,,,2.3771,537.3016216216216,2.3771,483.3908,2.42746,580.5742857142857,2.42746,497.17728
2.30952,515.7913513513514,2.30952,471.63093,,,,,,,,,2.37803,537.2102702702703,2.37803,483.35602,2.42839,580.4737142857143,2.42839,497.13237
2.30983,515.74,2.30983,471.61789999999996,,,,,,,,,2.37897,537.1189189189189,2.37897,483.32128,2.42933,580.3731428571429,2.42933,497.0875
2.31045,515.6848648648648,2.31045,471.60487,,,,,,,,,2.37991,537.0275675675676,2.37991,483.28658,2.43027,580.2725714285714,2.43027,497.04269
2.31139,515.6297297297298,2.31139,471.57884,,,,,,,,,2.38084,536.9362162162163,2.38084,483.25193,2.43121,580.172,2.43121,496.99792
2.31232,515.5745945945946,2.31232,471.55284,,,,,,,,,2.38178,536.8448648648649,2.38178,483.21731,2.43214,580.0714285714286,2.43214,496.95321
2.31325,515.5194594594594,2.31325,471.52688,,,,,,,,,2.38271,536.7535135135136,2.38271,483.18274,2.43308,579.9708571428571,2.43308,496.90855
2.31419,515.4643243243244,2.31419,471.50094,,,,,,,,,2.38365,536.6621621621622,2.38365,483.14821,2.43402,579.8702857142857,2.43402,496.86394
2.31512,515.4091891891892,2.31512,471.47504,,,,,,,,,2.38458,536.5708108108108,2.38458,483.11371,2.43495,579.7697142857143,2.43495,496.81939
2.31606,515.354054054054,2.31606,471.44917,,,,,,,,,2.38552,536.4794594594595,2.38552,483.07926,2.43589,579.6691428571429,2.43589,496.77488
2.31699,515.298918918919,2.31699,471.42333,,,,,,,,,2.38646,536.3881081081081,2.38646,483.04485,2.43683,579.5685714285714,2.43683,496.73043
2.31793,515.2437837837838,2.31793,471.39752,,,,,,,,,2.38739,536.2967567567567,2.38739,483.01048,2.43777,579.468,2.43777,496.68602
2.31886,515.1886486486487,2.31886,471.37174,,,,,,,,,2.38833,536.2054054054055,2.38833,482.97615,2.4387,579.3674285714286,2.4387,496.64167
2.31979,515.1335135135135,2.31979,471.346,,,,,,,,,2.38927,536.1140540540541,2.38927,482.94185,2.43964,579.2668571428571,2.43964,496.59737
2.32073,515.0783783783784,2.32073,471.32028,,,,,,,,,2.3902,536.0227027027028,2.3902,482.9076,2.44058,579.1662857142857,2.44058,496.55312
2.32166,515.0232432432433,2.32166,471.29459,,,,,,,,,2.39114,535.9313513513514,2.39114,482.87339,2.44152,579.0657142857143,2.44152,496.50892
2.3226,514.9681081081081,2.3226,471.26894,,,,,,,,,2.39187,535.84,2.39187,482.856305,2.44245,578.9651428571428,2.44245,496.46477
2.32353,514.912972972973,2.32353,471.24332,,,,,,,,,2.39207,535.7874285714286,2.39207,482.83922,2.44339,578.8645714285714,2.44339,496.42067
2.32447,514.8578378378379,2.32447,471.21772,,,,,,,,,2.39301,535.7348571428572,2.39301,482.80509,2.44433,578.764,2.44433,496.37662
2.3254,514.8027027027027,2.3254,471.19216,,,,,,,,,2.39395,535.6822857142857,2.39395,482.771,2.44527,578.6634285714285,2.44527,496.33263
2.32634,514.7475675675676,2.32634,471.16663,,,,,,,,,2.39488,535.6297142857143,2.39488,482.73695,2.4462,578.5628571428571,2.4462,496.28868
2.32727,514.6924324324325,2.32727,471.14113,,,,,,,,,2.39582,535.5771428571429,2.39582,482.70294,2.44714,578.4622857142857,2.44714,496.24478
2.32821,514.6372972972973,2.32821,471.11566,,,,,,,,,2.39676,535.5245714285714,2.39676,482.66896,2.44808,578.3617142857142,2.44808,496.20093
2.32914,514.5821621621621,2.32914,471.09022,,,,,,,,,2.39769,535.472,2.39769,482.63503,2.44902,578.2611428571428,2.44902,496.15714
2.33008,514.5270270270271,2.33008,471.06481,,,,,,,,,2.39863,535.4194285714286,2.39863,482.60114,2.44995,578.1605714285714,2.44995,496.11339
2.33101,514.4718918918919,2.33101,471.03943,,,,,,,,,2.39957,535.3668571428572,2.39957,482.56728,2.45016,578.06,2.45016,496.091545
