cfd-a,cfd-a,sim-a,sim-a,cfd-b,cfd-b,sim-b,sim-b,cfd-c,cfd-c,sim-c,sim-c,cfd-d,cfd-d,sim-d,sim-d,cfd-e,cfd-e,sim-e,sim-e
2.95E-04,0.00865,0.01095,0.04661,9.29E-04,0.00817,0.02175,0.04497,0.00162,0.01405,0.03228,0.04245,1.67E-04,0.00908,0.01296,0.05804,9.13E-05,0.00904,0.01474,0.06924
3.21E-04,0.00892,0.01137,0.04731,0.001,0.00842,0.02258,0.04556,0.00172,0.01427,0.03349,0.04288,1.84E-04,0.00939,0.01344,0.05887,1.01E-04,0.00934,0.01526,0.07017
3.49E-04,0.00921,0.01179,0.048,0.00109,0.00869,0.02341,0.04614,0.00183,0.01448,0.0347,0.0433,2.02E-04,0.00968,0.01392,0.05967,1.11E-04,0.00964,0.01578,0.0711
3.79E-04,0.0095,0.01222,0.04868,0.00117,0.00896,0.02424,0.0467,0.00194,0.01468,0.03592,0.04369,2.20E-04,0.00998,0.0144,0.06047,1.22E-04,0.00998,0.0163,0.07201
4.09E-04,0.0098,0.01265,0.04934,0.00125,0.00921,0.02508,0.04725,0.00206,0.01491,0.03714,0.04407,2.40E-04,0.01027,0.01488,0.06125,1.34E-04,0.01032,0.01683,0.0729
4.44E-04,0.01012,0.01308,0.05,0.00133,0.00946,0.02593,0.04778,0.00218,0.01512,0.03837,0.04443,2.61E-04,0.01058,0.01537,0.06202,1.46E-04,0.01065,0.01736,0.07378
4.81E-04,0.01043,0.01352,0.05064,0.00141,0.00972,0.02678,0.0483,0.0023,0.01532,0.03961,0.04477,2.85E-04,0.01091,0.01586,0.06278,1.60E-04,0.011,0.0179,0.07464
5.23E-04,0.01075,0.01395,0.05127,0.0015,0.00996,0.02764,0.04881,0.00242,0.01553,0.04086,0.04509,3.10E-04,0.01124,0.01635,0.06353,1.74E-04,0.01135,0.01844,0.0755
5.63E-04,0.01108,0.0144,0.0519,0.00159,0.0102,0.0285,0.0493,0.00254,0.01574,0.04211,0.0454,3.36E-04,0.01158,0.01685,0.06426,1.90E-04,0.01172,0.01898,0.07634
6.05E-04,0.01139,0.01484,0.05251,0.00168,0.01044,0.02937,0.04978,0.00267,0.01595,0.04336,0.04569,3.61E-04,0.01189,0.01734,0.06498,2.06E-04,0.01208,0.01952,0.07716
6.47E-04,0.01169,0.01529,0.05312,0.00179,0.0107,0.03024,0.05025,0.00281,0.01618,0.04462,0.04597,3.91E-04,0.01224,0.01784,0.0657,2.22E-04,0.01242,0.02006,0.07798
6.98E-04,0.01202,0.01574,0.05372,0.0019,0.01096,0.03112,0.05071,0.00295,0.01639,0.04589,0.04623,4.20E-04,0.01258,0.01835,0.0664,2.38E-04,0.01275,0.02061,0.07878
7.51E-04,0.01236,0.01619,0.05431,0.002,0.0112,0.032,0.05115,0.0031,0.01661,0.04716,0.04647,4.51E-04,0.01292,0.01885,0.06709,2.56E-04,0.01311,0.02116,0.07957
7.98E-04,0.01266,0.01664,0.05489,0.0021,0.01143,0.03289,0.05159,0.00327,0.01684,0.04843,0.0467,4.82E-04,0.01324,0.01936,0.06777,2.73E-04,0.01342,0.02171,0.08035
8.50E-04,0.01298,0.0171,0.05546,0.0022,0.01165,0.03378,0.05201,0.00344,0.01705,0.04971,0.04692,5.15E-04,0.01355,0.01987,0.06844,2.92E-04,0.01376,0.02227,0.08111
9.09E-04,0.01331,0.01756,0.05602,0.00229,0.01186,0.03467,0.05242,0.00358,0.01724,0.05099,0.04712,5.47E-04,0.01386,0.02039,0.06911,3.13E-04,0.01409,0.02282,0.08187
9.72E-04,0.0136,0.01802,0.05658,0.00241,0.0121,0.03556,0.05282,0.00372,0.01741,0.05228,0.04731,5.82E-04,0.01418,0.0209,0.06976,3.33E-04,0.01443,0.02338,0.08262
0.00103,0.01389,0.01849,0.05713,0.00252,0.01234,0.03646,0.05321,0.00387,0.0176,0.05356,0.04748,6.20E-04,0.01451,0.02142,0.0704,3.55E-04,0.01477,0.02394,0.08336
0.00109,0.01418,0.01895,0.05767,0.00264,0.01258,0.03737,0.05359,0.00405,0.0178,0.05486,0.04764,6.57E-04,0.01483,0.02194,0.07104,3.79E-04,0.01511,0.0245,0.08408
0.00116,0.01449,0.01942,0.0582,0.00276,0.0128,0.03828,0.05396,0.00422,0.018,0.05615,0.04779,6.98E-04,0.01515,0.02246,0.07167,4.01E-04,0.01544,0.02507,0.0848
0.00123,0.01483,0.0199,0.05872,0.00289,0.01305,0.03919,0.05432,0.00439,0.01819,0.05745,0.04793,7.43E-04,0.0155,0.02298,0.07228,4.26E-04,0.0158,0.02563,0.08551
0.00132,0.01518,0.02037,0.05924,0.00303,0.0133,0.0401,0.05466,0.00456,0.01839,0.05875,0.04805,7.92E-04,0.01587,0.02351,0.0729,4.54E-04,0.01617,0.0262,0.08621
