cfd-a,cfd-a.1,sim-a,sim-a.1,cfd-b,cfd-b.1,sim-b,sim-b.1,cfd-c,cfd-c.1,sim-c,sim-c.1,cfd-d,cfd-d.1,sim-d,sim-d.1,cfd-e,cfd-e.1,sim-e,sim-e.1
0.79253,0.05560333333333333,0.79253,0.08576,1.63745,0.0089,1.63745,0.02697,2.54013,0.017680769230769233,2.54013,0.00129,0.83553,0.11929428571428571,0.83553,0.1241,0.86356,0.19506652173913044,0.86356,0.16216
0.79335,0.05557555555555556,0.79335,0.08576,1.63805,0.008919375,1.63805,0.02697,2.54097,0.01771,2.54097,0.00129,0.83636,0.11927809523809524,0.83636,0.1241,0.86441,0.19507304347826088,0.86441,0.16217
0.79417,0.05554777777777778,0.79417,0.08575,1.63987,0.00893875,1.63987,0.02697,2.54295,0.017739285714285714,2.54295,0.00129,0.83719,0.11926190476190476,0.83719,0.1241,0.86525,0.1950795652173913,0.86525,0.16217
0.79485,0.05552,0.79485,0.08575,1.64169,0.008958124999999999,1.64169,0.02697,2.54578,0.01776857142857143,2.54578,0.00129,0.83803,0.11924571428571429,0.83803,0.1241,0.86609,0.19508608695652174,0.86609,0.16217
0.795,0.055496,0.795,0.08575,1.6435,0.0089775,1.6435,0.02697,2.5486,0.017797857142857143,2.5486,0.00129,0.83886,0.11922952380952381,0.83886,0.1241,0.86693,0.19509260869565218,0.86693,0.16218
0.79582,0.055472,0.79582,0.08574,1.64532,0.008996875,1.64532,0.02696,2.55143,0.017827142857142857,2.55143,0.00128,0.83969,0.11921333333333334,0.83969,0.1241,0.86778,0.1950991304347826,0.86778,0.16218
0.79664,0.055448,0.79664,0.08574,1.64714,0.00901625,1.64714,0.02696,2.55425,0.01785642857142857,2.55425,0.00128,0.84053,0.11919714285714286,0.84053,0.1241,0.86862,0.19510565217391304,0.86862,0.16219
0.79746,0.055424,0.79746,0.08574,1.64896,0.009035625,1.64896,0.02696,2.55708,0.017885714285714286,2.55708,0.00128,0.84136,0.11918095238095237,0.84136,0.1241,0.86946,0.19511217391304347,0.86946,0.16219
0.79829,0.0554,0.79829,0.08573,1.65078,0.009055,1.65078,0.02696,2.5599,0.017915,2.5599,0.00128,0.8422,0.1191647619047619,0.8422,0.1241,0.8703,0.1951186956521739,0.8703,0.16219
0.79911,0.055376,0.79911,0.08573,1.6526,0.009074374999999999,1.6526,0.02696,2.56273,0.017944285714285715,2.56273,0.00128,0.84303,0.11914857142857142,0.84303,0.1241,0.87115,0.19512521739130434,0.87115,0.1622
0.79993,0.055352,0.79993,0.08573,1.65442,0.00909375,1.65442,0.02696,2.56555,0.01797357142857143,2.56555,0.00128,0.84387,0.11913238095238095,0.84387,0.1241,0.87199,0.19513173913043477,0.87199,0.1622
0.80076,0.055328,0.80076,0.08572,1.65625,0.009113125,1.65625,0.02696,2.56838,0.018002857142857143,2.56838,0.00128,0.8447,0.11911619047619047,0.8447,0.1241,0.87283,0.19513826086956523,0.87283,0.16221
0.80158,0.055304,0.80158,0.08572,1.65807,0.0091325,1.65807,0.02695,2.5712,0.018032142857142858,2.5712,0.00128,0.84531,0.1191,0.84531,0.1241,0.87368,0.19514478260869567,0.87368,0.16221
0.8024,0.055279999999999996,0.8024,0.08571,1.65989,0.009151875,1.65989,0.02695,2.57403,0.018061428571428572,2.57403,0.00128,0.84554,0.11908363636363636,0.84554,0.1241,0.87452,0.1951513043478261,0.87452,0.16222
0.80323,0.055256,0.80323,0.08571,1.66171,0.009171249999999999,1.66171,0.02695,2.57686,0.018090714285714286,2.57686,0.00128,0.84637,0.11906727272727273,0.84637,0.1241,0.87536,0.19515782608695653,0.87536,0.16222
0.80405,0.055231999999999996,0.80405,0.08571,1.66353,0.009190625,1.66353,0.02695,2.57765,0.01812,2.57765,0.00128,0.84721,0.11905090909090908,0.84721,0.1241,0.87621,0.19516434782608696,0.87621,0.16222
0.80487,0.055208,0.80487,0.0857,1.66518,0.00921,1.66518,0.02695,2.57968,0.01815,2.57968,0.00128,0.84804,0.11903454545454545,0.84804,0.1241,0.87705,0.1951708695652174,0.87705,0.16223
0.8057,0.055184,0.8057,0.0857,1.66535,0.009228235294117646,1.66535,0.02695,2.58251,0.01818,2.58251,0.00128,0.84888,0.11901818181818181,0.84888,0.1241,0.8779,0.19517739130434783,0.8779,0.16223
0.80652,0.05516,0.80652,0.0857,1.66717,0.009246470588235293,1.66717,0.02695,2.58534,0.01821,2.58534,0.00128,0.84972,0.11900181818181818,0.84972,0.1241,0.87874,0.19518391304347826,0.87874,0.16224
0.80735,0.055136,0.80735,0.08569,1.669,0.00926470588235294,1.669,0.02695,2.58817,0.01824,2.58817,0.00128,0.85055,0.11898545454545455,0.85055,0.1241,0.87958,0.1951904347826087,0.87958,0.16224
0.80817,0.055112,0.80817,0.08569,1.67082,0.009282941176470588,1.67082,0.02695,2.59099,0.01827,2.59099,0.00128,0.85139,0.11896909090909091,0.85139,0.1241,0.88043,0.19519695652173913,0.88043,0.16224
0.809,0.055088,0.809,0.08569,1.67264,0.009301176470588235,1.67264,0.02694,2.59382,0.0183,2.59382,0.00128,0.85223,0.11895272727272727,0.85223,0.1241,0.88127,0.19520347826086956,0.88127,0.16225
0.80982,0.055064,0.80982,0.08568,1.67446,0.009319411764705882,1.67446,0.02694,2.59665,0.01833,2.59665,0.00128,0.85306,0.11893636363636363,0.85306,0.1241,0.88198,0.19521,0.88198,0.16225
0.81052,0.05504,0.81052,0.08568,1.67629,0.009337647058823529,1.67629,0.02694,2.59948,0.018359999999999998,2.59948,0.00127,0.8539,0.11892,0.8539,0.1241,0.88212,0.19521695652173912,0.88212,0.16225
0.81065,0.055017142857142855,0.81065,0.08568,1.67811,0.009355882352941176,1.67811,0.02694,2.6023,0.01839,2.6023,0.00127,0.85474,0.11890363636363636,0.85474,0.1241,0.88296,0.19522391304347825,0.88296,0.16226
0.81147,0.05499428571428571,0.81147,0.08567,1.67993,0.009374117647058824,1.67993,0.02694,2.60513,0.01842,2.60513,0.00127,0.85557,0.11888727272727273,0.85557,0.1241,0.88381,0.19523086956521737,0.88381,0.16226
0.8123,0.05497142857142857,0.8123,0.08567,1.68176,0.009392352941176471,1.68176,0.02694,2.60796,0.018449999999999998,2.60796,0.00127,0.85641,0.11887090909090908,0.85641,0.1241,0.88465,0.19523782608695653,0.88465,0.16226
0.81312,0.05494857142857143,0.81312,0.08567,1.68358,0.009410588235294119,1.68358,0.02694,2.61079,0.01848,2.61079,0.00127,0.85725,0.11885454545454545,0.85725,0.1241,0.8855,0.19524478260869566,0.8855,0.16227
0.81395,0.054925714285714286,0.81395,0.08566,1.6854,0.009428823529411766,1.6854,0.02694,2.61302,0.01851,2.61302,0.00127,0.85808,0.11883818181818182,0.85808,0.1241,0.88634,0.19525173913043478,0.88634,0.16227
0.81478,0.05490285714285714,0.81478,0.08566,1.68723,0.009447058823529413,1.68723,0.02693,2.61362,0.018537142857142856,2.61362,0.00127,0.85892,0.11882181818181818,0.85892,0.1241,0.88719,0.1952586956521739,0.88719,0.16228
0.8156,0.05488,0.8156,0.08566,1.68905,0.00946529411764706,1.68905,0.02693,2.61645,0.018564285714285714,2.61645,0.00127,0.85976,0.11880545454545455,0.85976,0.1241,0.88803,0.19526565217391303,0.88803,0.16228
0.81643,0.054857142857142854,0.81643,0.08565,1.69088,0.009483529411764707,1.69088,0.02693,2.61928,0.01859142857142857,2.61928,0.00127,0.8606,0.11878909090909091,0.8606,0.1241,0.88888,0.19527260869565216,0.88888,0.16229
0.81726,0.05483428571428571,0.81726,0.08565,1.6927,0.009501764705882354,1.6927,0.02693,2.62211,0.01861857142857143,2.62211,0.00127,0.86143,0.11877272727272727,0.86143,0.1241,0.88973,0.1952795652173913,0.88973,0.16229
0.81808,0.054811428571428567,0.81808,0.08565,1.69302,0.00952,1.69302,0.02693,2.62494,0.018645714285714286,2.62494,0.00127,0.86227,0.11875636363636363,0.86227,0.1241,0.89057,0.19528652173913041,0.89057,0.16229
0.81891,0.05478857142857143,0.81891,0.08564,1.69453,0.009540625,1.69453,0.02693,2.62777,0.018672857142857144,2.62777,0.00127,0.86302,0.11874,0.86302,0.1241,0.89142,0.19529347826086957,0.89142,0.1623
0.81974,0.054765714285714286,0.81974,0.08564,1.69635,0.00956125,1.69635,0.02693,2.6306,0.0187,2.6306,0.00127,0.86311,0.11872391304347826,0.86311,0.1241,0.89226,0.1953004347826087,0.89226,0.1623
