CFD-a,CFD-a,SIM-a,SIM-a,CFD-b,CFD-b,SIM-b,SIM-b,CFD-c,CFD-c,SIM-c,SIM-c,CFD-d,CFD-d,SIM-d,SIM-d,CFD-e,CFD-e,SIM-e,SIM-e
0.03642,16050.8,0.08848,16647.33148,0.0298,15521,0.10913,8020.49215,0.03428,13977.2,0.13383,4482.77215,0.03876,17568,0.10588,16687.71929,0.04,19782,0.12252,16786.52634
0.03724,15784,0.0891,16518.43523,0.03045,15207,0.11011,7917.38363,0.03487,13708.8,0.13518,4417.05214,0.03981,17288,0.10658,16567.88756,0.04098,19534,0.12328,16674.21052
0.03815,15449.8,0.08972,16390.81988,0.03111,14904.2,0.1111,7816.25746,0.03548,13424,0.13653,4352.82251,0.04091,17008,0.10728,16449.16888,0.04198,19310,0.12405,16562.87535
0.03907,15045.2,0.09034,16264.47333,0.03178,14653,0.11208,7717.06565,0.03609,13160.2,0.13789,4290.0354,0.04201,16649.4,0.10797,16331.55294,0.04301,18986,0.12481,16452.51181
0.04002,14655.2,0.09096,16139.38354,0.03248,14404.6,0.11307,7619.76151,0.03671,12957,0.13925,4228.64474,0.04309,16394,0.10867,16215.02951,0.04406,18712,0.12557,16343.11096
0.04098,14327.8,0.09158,16015.53849,0.03324,14106.8,0.11405,7524.29955,0.03733,12747,0.14061,4168.60619,0.04411,16070.2,0.10936,16099.58837,0.04511,18456,0.12633,16234.66394
0.04197,14045.2,0.09219,15892.92618,0.03403,13789.4,0.11504,7430.63551,0.03795,12506.6,0.14197,4109.87706,0.04515,15840.4,0.11005,15985.21939,0.04632,18116,0.12709,16127.16195
0.04297,13818.6,0.09281,15771.53463,0.03482,13500.2,0.11602,7338.72632,0.03864,12249,0.14333,4052.41626,0.0462,15572.6,0.11074,15871.91248,0.04755,17792,0.12784,16020.59627
0.04411,13523.8,0.09342,15651.35193,0.03558,13240.4,0.11701,7248.53001,0.03931,12022.6,0.14469,3996.18421,0.04728,15276.2,0.11142,15759.6576,0.04879,17418,0.1286,15914.95825
0.04532,13265.2,0.09404,15532.36618,0.03632,13017.4,0.118,7160.00578,0.03997,11824.6,0.14605,3941.14282,0.04843,15012.8,0.11211,15648.44478,0.05013,17084,0.12935,15810.23929
0.0464,12997.6,0.09465,15414.56554,0.03703,12822.8,0.11899,7073.11386,0.04062,11628,0.14741,3887.25541,0.04953,14772.6,0.1128,15538.26409,0.05139,16791,0.1301,15706.43091
0.04745,12710.8,0.09526,15297.93823,0.03782,12601.8,0.11997,6987.81557,0.04133,11395.2,0.14878,3834.48664,0.05065,14534.4,0.11348,15429.10567,0.05267,16571.6,0.13085,15603.52464
0.04852,12435.4,0.09587,15182.47248,0.03863,12327.8,0.12096,6904.07324,0.04206,11177.4,0.15014,3782.8025,0.05177,14309.4,0.11416,15320.95971,0.05401,16326.4,0.1316,15501.51211
0.04962,12156,0.09648,15068.15661,0.03945,12042,0.12195,6821.8502,0.04283,10950.8,0.15151,3732.17021,0.05294,14067.8,0.11484,15213.81646,0.0554,16104.8,0.13234,15400.38499
0.05081,11896.6,0.09709,14954.97898,0.04037,11773.6,0.12294,6741.11074,0.04359,10738,0.15288,3682.55823,0.05417,13757.2,0.11553,15107.66625,0.05682,15883.8,0.13309,15300.13505
0.05201,11635,0.0977,14842.92801,0.04134,11562.6,0.12393,6661.82011,0.04439,10516.8,0.15425,3633.93614,0.0554,13478.2,0.1162,15002.49945,0.05826,15595.8,0.13383,15200.75408
0.05324,11431.4,0.09831,14731.99218,0.04231,11357.6,0.12492,6583.94446,0.04526,10271.2,0.15562,3586.27468,0.05663,13233,0.11688,14898.30648,0.0598,15316.2,0.13457,15102.23399
0.05446,11229.6,0.09892,14622.16002,0.0433,11091,0.12591,6507.45085,0.04609,10067.2,0.15699,3539.54564,0.05795,12993.4,0.11756,14795.07785,0.06142,15085.4,0.13531,15004.5667
0.0557,10982.6,0.09952,14513.42017,0.04428,10839,0.1269,6432.30719,0.04696,9804.8,0.15836,3493.72185,0.05929,12726.4,0.11824,14692.80412,0.063,14807.4,0.13605,14907.74423
0.05695,10714.6,0.10013,14405.76127,0.04528,10618,0.12789,6358.48224,0.04788,9585.8,0.15973,3448.77714,0.06066,12437.4,0.11891,14591.47591,0.0646,14491.2,0.13679,14811.75864
0.05833,10475.2,0.10073,14299.1721,0.04626,10380.6,0.12888,6285.94559,0.04881,9377.4,0.16111,3404.6863,0.06209,12170.2,0.11959,14491.0839,0.06626,14232,0.13753,14716.60206
0.05972,10239.2,0.10134,14193.64144,0.04726,10158.6,0.12988,6214.6676,0.04974,9181.2,0.16249,3361.42504,0.0636,11922.8,0.12026,14391.61886,0.06795,14043.4,0.13826,14622.26668
0.06107,10048.4,0.10194,14089.15821,0.04832,9949.2,0.13087,6144.61944,0.05068,8981,0.16386,3318.96997,0.06517,11688.8,0.12093,14293.0716,0.06964,13875,0.139,14528.74477
0.06249,9862.2,0.10255,13985.71136,0.0494,9750.4,0.13186,6075.77301,0.05162,8777.6,0.16524,3277.29854,0.06681,11487.6,0.1216,14195.433,0.07129,13638.2,0.13973,14436.02862
0.06383,9684,0.10315,13883.28995,0.05051,9550.6,0.13286,6008.10095,0.05258,8592,0.16662,3236.38904,0.06843,11298.2,0.12227,14098.69402,0.0731,13309.2,0.14046,14344.11065
0.0652,9495.6,0.10375,13781.88308,0.05159,9325,0.13385,5941.57662,0.05358,8382.8,0.16801,3196.22055,0.07012,11098,0.12294,14002.84567,0.07477,13019.2,0.14119,14252.98325
0.06654,9319,0.10435,13681.47996,0.05271,9105.4,0.13485,5876.17405,0.05461,8175.4,0.16939,3156.77291,0.0718,10921.8,0.12361,13907.87904,0.07655,12748.2,0.14192,14162.63896
0.06804,9142.8,0.10495,13582.06986,0.05389,8883,0.13584,5811.86798,0.05571,7968,0.17077,3118.02671,0.07359,10695,0.12428,13813.78528,0.07837,12438.6,0.14265,14073.07031
0.06947,8972.2,0.10556,13483.64214,0.05515,8674.2,0.13684,5748.63376,0.05681,7773.8,0.17216,3079.96324,0.07536,10471.2,0.12495,13720.55561,0.08029,12171.4,0.14337,13984.26994
0.07089,8798,0.10616,13386.18627,0.05633,8527.4,0.13783,5686.44743,0.05791,7567.6,0.17355,3042.56446,0.07711,10237,0.12561,13628.18133,0.08229,11938.2,0.1441,13896.23053
0.07235,8606.2,0.10676,13289.69176,0.05752,8321,0.13883,5625.28561,0.05902,7401.6,0.17494,3005.81302,0.07886,9986.8,0.12628,13536.65379,0.08433,11760.4,0.14482,13808.94483
