x,y,u_real_x,u_real_y,s,d,Q,ppm,d_u_x,d_u_y,d_U_s_x,d_U_s_y
0.5065384601059476,0.08851239308032491,0.14853596238308234,-0.0025857030713848476,0.560059860734126,0.3094389360273963,0.011172161562662562,1051.831225080461,5.5756486486563395e-05,8.123435518226155e-06,"[0.1483318313, -0.0087821124, 159.5580665283, 0.13592365309288507, 0.0600351413712182]","[0.148387775, -0.0087614967, 159.5868418527, 0.13601340813707938, 0.05996706102892052]"
0.507281139917863,0.08849946456496799,0.14859164906831385,-0.0025776001635095646,0.5608026530668382,0.309822811104942,0.011204085049778349,1050.0879514312417,5.568668523150966e-05,8.102907875283047e-06,"[0.148387775, -0.0087614967, 159.5868418527, 0.13601340813707938, 0.05996706102892052]","[0.1484436485, -0.0087409375, 159.6155499155, 0.13610297317623482, 0.05989909400359375]"
0.5080240981632046,0.08848657656415043,0.14864726585064467,-0.0025695179147226625,0.5615457230870153,0.31020682969136953,0.011236068870629265,1048.3513170294282,5.561678233081957e-05,8.082248786902071e-06,"[0.1484436485, -0.0087409375, 159.6155499155, 0.13610297317623482, 0.05989909400359375]","[0.1484994517, -0.0087204348, 159.6441909135, 0.13619234863984872, 0.05983124014432272]"
0.5087673344924578,0.08847372897457681,0.1487028125282346,-0.0025614562554768256,0.5622890704497467,0.3105909916084291,0.011268113046630132,1046.6212920826977,5.5546677589946025e-05,8.061659245836919e-06,"[0.1484994517, -0.0087204348, 159.6441909135, 0.13619234863984872, 0.05983124014432272]","[0.1485551844, -0.0086999884, 159.6727650427, 0.13628153495631695, 0.05976349930142401]"
0.509510848555099,0.08846092169329942,0.1487582893000593,-0.0025534151156324115,0.5630326948090835,0.31097529667733437,0.011300217629305125,1044.8978453259224,5.5476771824686244e-05,8.041139844414125e-06,"[0.1485551844, -0.0086999884, 159.6727650427, 0.13628153495631695, 0.05976349930142401]","[0.1486108468, -0.0086795981, 159.7012724989, 0.1363705325540706, 0.05969587132277423]"
0.5102546400015993,0.08844815461772126,0.14881369586409027,-0.0025453946248971838,0.5637765958200425,0.31135974471979794,0.011332382632344831,1043.1809476826954,5.5406564030968664e-05,8.020490735227703e-06,"[0.1486108468, -0.0086795981, 159.7012724989, 0.1363705325540706, 0.05969587132277423]","[0.1486664386, -0.0086592639, 159.7297134768, 0.13645934186071837, 0.05962835605712574]"
0.5109987084809197,0.08843542764459678,0.14886903241931593,-0.0025373947119798086,0.5645207731361191,0.31174433555674635,0.011364608106990484,1041.470568217491,5.533655522566017e-05,7.99991291737523e-06,"[0.1486664386, -0.0086592639, 159.7297134768, 0.13645934186071837, 0.05962835605712574]","[0.14872196, -0.0086389856, 159.7580881707, 0.13654796330321897, 0.05956095335270534]"
0.5117430536430162,0.08842274067103686,0.14892429866372225,-0.002529415405240241,0.565265226411775,0.31212906900960535,0.011396894066330073,1039.766678175484,5.526624440632677e-05,7.979306739567746e-06,"[0.14872196, -0.0086389856, 159.7580881707, 0.13654796330321897, 0.05956095335270534]","[0.1487774107, -0.0086187631, 159.7863967743, 0.13663639730826108, 0.05949366305683148]"
0.5124876751363349,0.08841009359401067,0.14897949469610913,-0.0025214566322481063,0.5660099552999412,0.31251394489900963,0.011429240553635329,1038.0692473487659,5.519603238687831e-05,7.95877299213446e-06,"[0.1487774107, -0.0086187631, 159.7863967743, 0.13663639730826108, 0.05949366305683148]","[0.1488327908, -0.0085985962, 159.814639481, 0.136724644302018, 0.059426485015900435]"
0.5132325726098154,0.08839748631084943,0.14903462051508062,-0.002513518520422602,0.5667549594540146,0.3128989630458347,0.011461647604685639,1036.3782460809787,5.5125818971490936e-05,7.938111825504454e-06,"[0.1488327908, -0.0085985962, 159.814639481, 0.136724644302018, 0.059426485015900435]","[0.1488881003, -0.0085784849, 159.842816483, 0.13681270470973897, 0.05935941907733356]"
0.5139777457123907,0.0883849187182473,0.14908967591884534,-0.0025056008960211654,0.5675002385273727,0.3132841232709463,0.01149411523928183,1034.6936456944522,5.5055403764714406e-05,7.917624401436452e-06,"[0.1488881003, -0.0085784849, 159.842816483, 0.13681270470973897, 0.05935941907733356]","[0.148943339, -0.0085584289, 159.8709279726, 0.1369005789566806, 0.059292465086319496]"
0.514723194091985,0.08837239071376721,0.14914466100622195,-0.0024977037851321403,0.568245792172348,0.31366942539466947,0.011526643500376384,1033.0154164529745,5.498508737661334e-05,7.897110889025158e-06,"[0.148943339, -0.0085584289, 159.8709279726, 0.1369005789566806, 0.059292465086319496]","[0.148998507, -0.0085384281, 159.8989741407, 0.1369882674667427, 0.059225622890065534]"
0.5154689173970161,0.08835990219484155,0.1491995755754328,-0.002489827313499794,0.5689916200417465,0.3140548692375746,0.011559232407719465,1031.3435299662128,5.491456921086213e-05,7.876471632346435e-06,"[0.148998507, -0.0085384281, 159.8989741407, 0.1369882674667427, 0.059225622890065534]","[0.1490536041, -0.0085184825, 159.9269551784, 0.13707577066415536, 0.05915889233268474]"
0.5162149152748933,0.08834745305827404,0.14925441972530928,-0.0024819713057007246,0.569737721787354,0.31444045461970455,0.011591882003677605,1029.6779568246184,5.484414987647068e-05,7.856007799069212e-06,"[0.1490536041, -0.0085184825, 159.9269551784, 0.13707577066415536, 0.05915889233268474]","[0.1491086304, -0.0084985918, 159.9548712757, 0.13716308897200966, 0.05909227325943279]"
0.5169611873735198,0.08833504320174554,0.14930919345448754,-0.0024741357861745097,0.5704840970614137,0.31482618136133855,0.011624592323027441,1028.0186681592359,5.4773729178253516e-05,7.83551952621489e-06,"[0.1491086304, -0.0084985918, 159.9548712757, 0.13716308897200966, 0.05909227325943279]","[0.1491635859, -0.0084787559, 159.9827226221, 0.13725022281285576, 0.059025765515371496]"
